date,stock_code,open,high,low,close,volume
2023-07-03,sh.688297,51.48787098,52.51285179,51.03011256,51.8461167,6814929
2023-07-04,sh.688297,52.01528829,52.9407564,51.55752987,52.32377766,5150729
2023-07-05,sh.688297,52.1446548,52.62231576,51.42816336,51.43811463,3775071
2023-07-06,sh.688297,51.33860193,51.62718876,50.53254906,50.97040494,3584863
2023-07-07,sh.688297,51.11967399,51.50777352,50.40318255,50.70172065,3515833
2023-07-10,sh.688297,50.98035621,51.39830955,50.42308509,50.63206176,2333605
2023-07-11,sh.688297,50.5524516,51.21918669,50.4529389,51.01021002,1975446
2023-07-12,sh.688297,51.01021002,51.01021002,48.51244125,48.72141792,5689056
2023-07-13,sh.688297,49.0597611,49.06971237,48.64180776,48.8607357,2339400
2023-07-14,sh.688297,48.77117427,49.17917634,48.57214887,48.84083316,2480147
2023-07-17,sh.688297,48.83088189,49.04980983,48.21390315,48.64180776,2662150
2023-07-18,sh.688297,48.5621976,49.12941999,48.33331839,48.5621976,2738496
2023-07-19,sh.688297,48.5621976,48.64180776,48.09448791,48.25370823,1973275
2023-07-20,sh.688297,48.31341585,48.41292855,47.50736298,47.70638838,2551382
2023-07-21,sh.688297,47.75614473,48.18404934,47.6665833,47.92531632,1936967
2023-07-24,sh.688297,47.93526759,48.64180776,47.59692441,48.14424426,2717833
2023-07-25,sh.688297,48.5621976,48.93039459,48.07458537,48.8607357,2640545
2023-07-26,sh.688297,48.81097935,49.17917634,48.30346458,48.52239252,1934038
2023-07-27,sh.688297,49.2587865,50.57235414,49.0597611,49.34834793,6731384
2023-07-28,sh.688297,48.80102808,49.09956618,47.8656087,49.03985856,3987577
2023-07-31,sh.688297,49.0597611,49.76630127,48.89058951,49.67673984,3555496
2023-08-01,sh.688297,49.53742206,50.10464445,48.68161284,49.14932253,3661899
2023-08-02,sh.688297,49.10951745,49.10951745,47.93526759,48.2636595,3470617
2023-08-03,sh.688297,48.15419553,48.54229506,47.9651214,48.40297728,1452428
2023-08-04,sh.688297,48.4626849,48.81097935,48.3631722,48.50248998,1867100
2023-08-07,sh.688297,47.8656087,48.83088189,47.81585235,48.49253871,1706431
2023-08-08,sh.688297,48.13429299,48.761223,47.87555997,48.72141792,1728559
2023-08-09,sh.688297,48.48258744,48.70151538,48.24375696,48.48258744,1034066
2023-08-10,sh.688297,48.5621976,48.67166157,48.02482902,48.48258744,1465027
2023-08-11,sh.688297,48.44278236,48.50248998,47.3680452,47.51731425,1947308
2023-08-14,sh.688297,47.20882488,47.42775282,45.4773039,46.76101773,3383912
2023-08-15,sh.688297,46.5719436,47.00979948,46.32316185,46.64160249,1263182
2023-08-16,sh.688297,46.40277201,46.90033551,45.80569581,45.83554962,1153726
2023-08-17,sh.688297,45.92511105,48.04473156,45.64647549,47.68648584,4175240
2023-08-18,sh.688297,47.6665833,48.22385442,47.3680452,47.5670706,3049705
2023-08-21,sh.688297,47.91536505,48.61195395,47.5670706,47.60687568,2978220
2023-08-22,sh.688297,47.51731425,48.34326966,46.18384407,47.92531632,3321558
2023-08-23,sh.688297,47.69643711,47.81585235,46.53213852,46.53213852,1854556
2023-08-24,sh.688297,46.58189487,46.97994567,46.0743801,46.69135884,1481156
