profit_code,profit_pubDate,profit_statDate,profit_roeAvg,profit_npMargin,profit_gpMargin,profit_netProfit,profit_epsTTM,profit_MBRevenue,profit_totalShare,profit_liqaShare,operation_code,operation_pubDate,operation_statDate,operation_NRTurnRatio,operation_NRTurnDays,operation_INVTurnRatio,operation_INVTurnDays,operation_CATurnRatio,operation_AssetTurnRatio,growth_code,growth_pubDate,growth_statDate,growth_YOYEquity,growth_YOYAsset,growth_YOYNI,growth_YOYEPSBasic,growth_YOYPNI,balance_code,balance_pubDate,balance_statDate,balance_currentRatio,balance_quickRatio,balance_cashRatio,balance_YOYLiability,balance_liabilityToAsset,balance_assetToEquity,cash_code,cash_pubDate,cash_statDate,cash_CAToAsset,cash_NCAToAsset,cash_tangibleAssetToAsset,cash_ebitToInterest,cash_CFOToOR,cash_CFOToNP,cash_CFOToGr,dupont_code,dupont_pubDate,dupont_statDate,dupont_dupontROE,dupont_dupontAssetStoEquity,dupont_dupontAssetTurn,dupont_dupontPnitoni,dupont_dupontNitogr,dupont_dupontTaxBurden,dupont_dupontIntburden,dupont_dupontEbittogr,statDate
sh.600435,2018-04-27,2018-03-31,-0.004837,0.017896,0.451326,3197098.2,0.020145,,1489320000.0,1489320000.0,sh.600435,2018-04-27,2018-03-31,0.185522,485.118572,0.161848,556.078435,0.056247,0.037469,sh.600435,2018-04-27,2018-03-31,0.01261,-0.010908,-0.850227,-2.36,-2.426018,sh.600435,2018-04-27,2018-03-31,1.729781,1.363862,0.271387,-0.081929,0.401788,1.67165,sh.600435,2018-04-27,2018-03-31,0.656997,0.343003,0.330817,2.455198,-0.076466,-4.272814,-0.076466,sh.600435,2018-04-27,2018-03-31,-0.004837,2.270523,0.037469,-3.177187,0.017896,0.613393,0.592701,0.049224,2018-03-31
sh.600435,2018-08-11,2018-06-30,0.006418,0.086611,0.393645,43120950.62,0.037541,465346850.62,1489320000.0,1489320000.0,sh.600435,2018-08-11,2018-06-30,0.481725,373.657132,0.471607,381.673443,0.158389,0.106764,sh.600435,2018-08-11,2018-06-30,0.019422,-0.038804,0.405841,2.0,1.803141,sh.600435,2018-08-11,2018-06-30,1.768993,1.345316,0.236984,-0.145592,0.389383,1.637689,sh.600435,2018-08-11,2018-06-30,0.673331,0.326669,0.354593,10.934653,-0.031405,-0.362594,-0.031405,sh.600435,2018-08-11,2018-06-30,0.006418,2.231129,0.106764,0.311068,0.086611,0.762615,0.908548,0.125004,2018-06-30
sh.600435,2018-10-27,2018-09-30,0.001929,0.055019,0.389916,39604501.04,0.03175,,1489320000.0,1489320000.0,sh.600435,2018-10-27,2018-09-30,0.669291,403.411792,0.657651,410.552036,0.232183,0.155674,sh.600435,2018-10-27,2018-09-30,0.01753,-0.038954,0.130279,0.0,0.000937,sh.600435,2018-10-27,2018-09-30,1.806074,1.325863,0.196512,-0.149341,0.377661,1.60684,sh.600435,2018-10-27,2018-09-30,0.66565,0.33435,0.362322,7.586869,-0.024633,-0.44772,-0.024633,sh.600435,2018-10-27,2018-09-30,0.001929,2.214095,0.155674,0.101695,0.055019,0.749446,0.868193,0.084558,2018-09-30
sh.600435,2019-04-20,2018-12-31,0.023484,0.063974,0.267063,127885458.42,0.033258,1951477284.7,1489320000.0,1489320000.0,sh.600435,2019-04-20,2018-12-31,1.113082,323.426426,2.461807,146.234039,0.583388,0.404161,sh.600435,2019-04-20,2018-12-31,0.014967,0.008292,0.08807,0.0,0.047569,sh.600435,2019-04-20,2018-12-31,1.629501,1.343385,0.53016,-0.0275,0.441557,1.790694,sh.600435,2019-04-20,2018-12-31,0.710698,0.289302,0.329047,18.611614,0.42046,6.572325,0.42046,sh.600435,2019-04-20,2018-12-31,0.023484,2.345001,0.404161,0.387314,0.063974,0.850646,0.939982,0.080009,2018-12-31
sh.600435,2019-04-20,2019-03-31,-0.001664,0.001322,0.3976,208398.6,0.037706,,1489320000.0,1489320000.0,sh.600435,2019-04-20,2019-03-31,0.108413,830.154916,0.143558,626.924114,0.045497,0.032227,sh.600435,2019-04-20,2019-03-31,0.007017,0.045003,-0.934816,0.647059,0.652157,sh.600435,2019-04-20,2019-03-31,1.689533,1.340086,0.508044,0.10358,0.424311,1.737048,sh.600435,2019-04-20,2019-03-31,0.70588,0.29412,0.340271,1.636522,-0.431496,-326.4329,-0.431496,sh.600435,2019-04-20,2019-03-31,-0.001664,2.304347,0.032227,-16.954585,0.001322,0.25933,0.388948,0.013105,2019-03-31
sh.600435,2019-08-08,2019-06-30,0.000148,0.055208,0.360274,30962131.57,0.024462,548233829.98,1489320000.0,1489320000.0,sh.600435,2019-08-08,2019-06-30,0.414263,434.506976,0.517427,347.875053,0.163875,0.115584,sh.600435,2019-08-08,2019-06-30,0.018913,0.076582,-0.28197,-0.977778,-0.97661,sh.600435,2019-08-08,2019-06-30,1.705783,1.311095,0.542381,0.155499,0.417926,1.717996,sh.600435,2019-08-08,2019-06-30,0.699673,0.300327,0.348574,,0.031271,0.566429,0.031271,sh.600435,2019-08-08,2019-06-30,0.000148,2.28286,0.115584,0.010133,0.055208,0.920195,1.056458,0.056789,2019-06-30
sh.600435,2019-10-24,2019-09-30,0.001949,0.043601,0.343782,39934055.0,0.033337,,1489320000.0,1489320000.0,sh.600435,2019-10-24,2019-09-30,0.666795,404.922229,0.754972,357.629101,0.28158,0.195916,sh.600435,2019-10-24,2019-09-30,0.022359,0.014129,0.008321,0.0,0.02924,sh.600435,2019-10-24,2019-09-30,1.893511,1.274737,0.325234,-0.009646,0.368807,1.584301,sh.600435,2019-10-24,2019-09-30,0.678859,0.321141,0.380454,,-0.615967,-14.127338,-0.615967,sh.600435,2019-10-24,2019-09-30,0.001949,2.197502,0.195916,0.103805,0.043601,0.811747,1.045257,0.051387,2019-09-30
sh.600435,2020-04-24,2019-12-31,0.020834,0.050836,0.23686,116573219.75,0.029945,2275577779.04,1489320000.0,1489320000.0,sh.600435,2020-04-24,2019-12-31,1.475103,244.050748,2.947869,122.122133,0.655368,0.463777,sh.600435,2020-04-24,2019-12-31,0.014835,-0.008885,-0.088456,0.0,-0.099619,sh.600435,2020-04-24,2019-12-31,1.683453,1.407988,0.496979,-0.046537,0.424783,1.738474,sh.600435,2020-04-24,2019-12-31,0.704592,0.295408,0.345616,,-0.032592,-0.641118,-0.032592,sh.600435,2020-04-24,2019-12-31,0.020834,2.309806,0.463777,0.382571,0.050836,0.903469,1.015492,0.05541,2019-12-31
sh.600435,2020-04-24,2020-03-31,-0.007219,-0.067029,0.32092,-12780898.85,0.021901,,1489320000.0,1489320000.0,sh.600435,2020-04-24,2020-03-31,0.126357,712.26507,0.193908,464.137171,0.055997,0.039368,sh.600435,2020-04-24,2020-03-31,0.009655,-0.011005,-62.329101,-3.333333,-3.390738,sh.600435,2020-04-24,2020-03-31,1.745005,1.343984,0.417227,-0.048174,0.408364,1.690229,sh.600435,2020-04-24,2020-03-31,0.70141,0.29859,0.355839,-19.418697,-1.125902,,-1.125902,sh.600435,2020-04-24,2020-03-31,-0.007219,2.253863,0.039368,1.213831,-0.067029,0.921769,1.048673,-0.069343,2020-03-31
sh.600435,2020-08-06,2020-06-30,-0.007687,-0.000828,0.258569,-582222.33,0.018642,691935451.56,1489320000.0,1489320000.0,sh.600435,2020-08-06,2020-06-30,0.513136,350.784121,0.696735,258.347715,0.211773,0.147986,sh.600435,2020-08-06,2020-06-30,0.007446,-0.033211,-1.018804,-56.5,-53.654504,sh.600435,2020-08-06,2020-06-30,1.799677,1.27265,0.414489,-0.094159,0.39158,1.6436,sh.600435,2020-08-06,2020-06-30,0.692566,0.307434,0.372464,1.816912,-0.329284,,-0.329284,sh.600435,2020-08-06,2020-06-30,-0.007687,2.210838,0.147986,28.37422,-0.000828,-0.428429,0.449616,0.004299,2020-06-30
